name,current_club_name,country_of_citizenship,country_of_birth,position,sub_position,foot,height_in_cm,market_value_in_eur,current_club_domestic_competition_id,age
Leonardo Spinazzola,As Rom,Italy,Italy,Defender,Left-Back,Right,186,15000000.0,IT1,30.0
Marash Kumbulla,As Rom,Albania,Italy,Defender,Centre-Back,Right,191,14000000.0,IT1,23.0
Nicolò Zaniolo,As Rom,Italy,Italy,Attack,Attacking Midfield,Left,190,30000000.0,IT1,24.0
Gianluca Mancini,As Rom,Italy,Italy,Defender,Centre-Back,Right,190,18000000.0,IT1,27.0
Jordan Veretout,As Rom,France,France,Midfield,Defensive Midfield,Right,177,14000000.0,IT1,30.0
Roger Ibañez,As Rom,Brazil,Brazil,Defender,Centre-Back,Right,186,27000000.0,IT1,25.0
Kristjan Asllani,Fc Empoli,Albania,Albania,Midfield,Defensive Midfield,Right,175,12000000.0,IT1,21.0
Guglielmo Vicario,Fc Empoli,Italy,Italy,Goalkeeper,,Right,194,12000000.0,IT1,27.0
Rafael Leão,Ac Mailand,Portugal,Portugal,Attack,Left Winger,Right,188,85000000.0,IT1,24.0
Ante Rebic,Ac Mailand,Croatia,Croatia,Attack,Left Winger,Right,185,13000000.0,IT1,30.0
Brahim Díaz,Ac Mailand,Spain,Spain,Attack,Attacking Midfield,Both,171,20000000.0,IT1,24.0
Franck Kessié,Ac Mailand,Cote d'Ivoire,Cote d'Ivoire,Midfield,Central Midfield,Right,183,35000000.0,IT1,27.0
Ismaël Bennacer,Ac Mailand,Algeria,France,Midfield,Defensive Midfield,Left,175,40000000.0,IT1,26.0
Sandro Tonali,Ac Mailand,Italy,Italy,Midfield,Defensive Midfield,Right,181,50000000.0,IT1,23.0
Theo Hernández,Ac Mailand,France,France,Defender,Left-Back,Left,184,60000000.0,IT1,26.0
Davide Calabria,Ac Mailand,Italy,Italy,Defender,Right-Back,Right,176,25000000.0,IT1,27.0
Alessio Romagnoli,Ac Mailand,Italy,Italy,Defender,Centre-Back,Left,185,18000000.0,IT1,28.0
Pierre Kalulu,Ac Mailand,France,France,Defender,Centre-Back,Right,182,35000000.0,IT1,23.0
Fikayo Tomori,Ac Mailand,England,Canada,Defender,Centre-Back,Right,185,50000000.0,IT1,26.0
Alexis Saelemaekers,Ac Mailand,Belgium,Belgium,Attack,Right Winger,Right,180,15000000.0,IT1,24.0
Beto,Udinese Calcio,Portugal,Portugal,Attack,Centre-Forward,Right,194,13000000.0,IT1,25.0
Mike Maignan,Ac Mailand,France,French Guiana,Goalkeeper,,Right,191,35000000.0,IT1,28.0
Nahuel Molina,Udinese Calcio,Argentina,Argentina,Defender,Right-Back,Right,175,22000000.0,IT1,25.0
Destiny Udogie,Udinese Calcio,Italy,Italy,Defender,Left-Back,Left,188,22000000.0,IT1,21.0
Gerard Deulofeu,Udinese Calcio,Spain,Spain,Attack,Centre-Forward,Right,177,16000000.0,IT1,29.0
Andrea Pinamonti,Inter Mailand,Italy,Italy,Attack,Centre-Forward,Right,185,20000000.0,IT1,24.0
Lautaro Martínez,Inter Mailand,Argentina,Argentina,Attack,Centre-Forward,Right,174,75000000.0,IT1,26.0
Joaquín Correa,Inter Mailand,Argentina,Argentina,Attack,Second Striker,Right,188,20000000.0,IT1,29.0
Denzel Dumfries,Inter Mailand,Netherlands,Netherlands,Midfield,Right Midfield,Right,188,28000000.0,IT1,27.0
